Round,Male Temp,Larval Temp,Male ID,Treatment,Temp_Num,Temp,Normal,Abnormal,Dead
3,L,L,L9,LL,5,31.5,0,0,100
1,H,H,H1,HH,cntrl,19.8,99,1,0
1,H,H,H2,HH,cntrl,19.8,96,0,0
1,H,H,H3,HH,cntrl,19.8,76,9,15
2,H,H,H4,HH,cntrl,20.8,98,2,0
3,H,H,H7,HH,cntrl,20.1,97,3,0
3,H,H,H8,HH,cntrl,20.1,95,5,0
3,H,H,H9,HH,cntrl,20.1,82,17,1
1,H,L,H1,HL,cntrl,13.6,92,0,8
1,H,L,H2,HL,cntrl,13.6,95,5,0
1,H,L,H3,HL,cntrl,13.6,80,0,20
2,H,L,H4,HL,cntrl,13.6,93,8,0
2,H,L,H5,HL,cntrl,13.6,98,2,0
2,H,L,H6,HL,cntrl,13.6,100,0,0
3,H,L,H7,HL,cntrl,13.6,100,1,0
3,H,L,H8,HL,cntrl,13.6,89,11,3
3,H,L,H9,HL,cntrl,13.6,100,0,0
1,L,H,L1,LH,cntrl,19.8,95,0,0
1,L,H,L3,LH,cntrl,19.8,99,0,1
2,L,H,L4,LH,cntrl,20.6,56,5,39
2,L,H,L5,LH,cntrl,20.6,97,3,0
2,L,H,L6,LH,cntrl,20.6,80,2,18
3,L,H,L7,LH,cntrl,20.1,99,1,1
3,L,H,L8,LH,cntrl,20.1,101,0,1
3,L,H,L9,LH,cntrl,20.1,99,0,1
1,L,L,L1,LL,cntrl,13.4,97,3,0
1,L,L,L2,LL,cntrl,13.4,84,3,13
1,L,L,L3,LL,cntrl,13.4,90,3,0
2,L,L,L4,LL,cntrl,13.6,30,53,17
2,L,L,L5,LL,cntrl,13.6,100,0,0
2,L,L,L6,LL,cntrl,13.6,98,2,0
3,L,L,L7,LL,cntrl,13.5,101,1,0
3,L,L,L8,LL,cntrl,13.5,95,5,0
3,L,L,L9,LL,cntrl,13.5,97,3,0
